year,quarter,mae,mse,r2
1998,2,0.021645626053214073,0.0005268551758490503,-2.159231424331665
1998,3,0.01837949827313423,0.0004331073141656816,-0.6088331937789917
1998,4,0.029722092673182487,0.0009391169296577573,-6.301430702209473
1999,1,0.015090053901076317,0.0003283617552369833,-1.1420564651489258
1999,2,0.013948137871921062,0.00024366925936192274,-1.7564425468444824
1999,3,0.01594887115061283,0.00029486604034900665,-1.6988091468811035
1999,4,0.004239884205162525,2.436989416310098e-05,0.11394351720809937
2000,1,0.01980036310851574,0.0005067533347755671,-2.8848979473114014
2000,2,0.04208569973707199,0.002068161265924573,-6.094191551208496
2000,3,0.03662509471178055,0.0015930093359202147,-3229.770751953125
2000,4,0.028473254293203354,0.0009183825459331274,-0.49183666706085205
2001,1,0.014920119196176529,0.00027790036983788013,-6.158173561096191
2001,2,0.005218533333390951,5.818559293402359e-05,-0.8650884628295898
2001,3,0.04357053339481354,0.0030733447056263685,-2612.7919921875
2001,4,0.03187102824449539,0.001163870794698596,-30.620344161987305
2002,1,0.03452271223068237,0.0016163075342774391,-1.0045158863067627
2002,2,0.016034282743930817,0.0005944604054093361,0.26741933822631836
2002,3,0.03923376277089119,0.0018063978059217334,-0.6971349716186523
2002,4,0.009075302630662918,0.0001357939327135682,-0.7153270244598389
2003,1,0.01827412098646164,0.0006507717771455646,-0.016762137413024902
2003,2,0.016240224242210388,0.0003949084784835577,-148.4952850341797
2003,3,0.013243126682937145,0.00017838463827501982,-0.5605500936508179
2003,4,0.01354165654629469,0.00018368888413533568,-0.10189330577850342
2004,1,0.020362503826618195,0.000472249899758026,-1.5172789096832275
2004,2,0.009851537644863129,0.0001438790059182793,-0.46904540061950684
2004,3,0.01899511180818081,0.0004798739100806415,-1.1962075233459473
2004,4,0.020441092550754547,0.0005619690637104213,-1.2700636386871338
2005,1,0.014381684362888336,0.00024196300364565104,-0.07532823085784912
2005,2,0.031528301537036896,0.0021187779493629932,-0.48097169399261475
2005,3,0.0502169132232666,0.0025723297148942947,-21.69317054748535
2005,4,0.00481679430231452,2.7021418645745143e-05,0.48282408714294434
2006,1,0.008763862773776054,9.136711014434695e-05,-0.21754074096679688
2006,2,0.013188820332288742,0.00021030614152550697,-3.974884033203125
2006,3,0.008877025917172432,8.167594205588102e-05,-4.753220081329346
2006,4,0.006384655833244324,5.089080877951346e-05,-52.86292266845703
2007,1,0.011508233845233917,0.0001444685331080109,-5.208094120025635
2007,2,0.006222655531018972,5.644526027026586e-05,-0.25885629653930664
2007,3,0.016641249880194664,0.00028590235160663724,-31.71862030029297
2007,4,0.030977746471762657,0.001044680131599307,-17.001766204833984
2008,1,0.026837056502699852,0.0010191433830186725,-2.135507106781006
2008,2,0.0362309068441391,0.0013931919820606709,-4.592063903808594
2008,3,0.027294917032122612,0.001076516113243997,-1.0467793941497803
2008,4,0.0075747175142169,9.014295937959105e-05,0.5652642250061035
2009,1,0.03907669708132744,0.0021938832942396402,-0.3174614906311035
2009,2,0.02783576026558876,0.000826240167953074,-1.9106996059417725
2009,3,0.05772949382662773,0.004681726917624474,-2.659147024154663
2009,4,0.008577453903853893,0.00010963746171910316,-0.039182186126708984
2010,1,0.02967221662402153,0.0011075872462242842,-6.636093616485596
2010,2,0.06278336048126221,0.0049751573242247105,-2.577826976776123
2010,3,0.014223906211555004,0.00039899349212646484,0.12982982397079468
2010,4,0.00452178530395031,2.3603708541486412e-05,-4.881508827209473
2011,1,0.014489911496639252,0.00023491743195336312,-10.977468490600586
2011,2,0.02553457021713257,0.0008810512954369187,-2.7382426261901855
2011,3,0.03578358516097069,0.0014987350441515446,-5.867120265960693
2011,4,0.016576237976551056,0.0003609565319493413,-4.506592750549316
2012,1,0.006576356943696737,4.6163513616193086e-05,-9.48310661315918
2012,2,0.01672545075416565,0.0003650565631687641,0.32353174686431885
2012,3,0.007993616163730621,9.764842980075628e-05,-3.4290404319763184
2012,4,0.004734688438475132,4.214974615024403e-05,0.3191208839416504
2013,1,0.02685035578906536,0.0008395914919674397,-9.392797470092773
2013,2,0.027041634544730186,0.0008596662664785981,-0.45419931411743164
2013,3,0.008932488970458508,8.437746146228164e-05,-0.0688711404800415
2013,4,0.00320989266037941,1.4406212358153425e-05,-0.0008041858673095703
2014,1,0.004268716089427471,2.9099921448505484e-05,0.6165059804916382
2014,2,0.011701183393597603,0.00015244576206896454,-4.990499496459961
2014,3,0.008774763904511929,9.327394946012646e-05,-1.434415340423584
2014,4,0.005660743452608585,4.244993760949001e-05,0.5422776937484741
2015,1,0.02759871445596218,0.0009141037007793784,-3.992110252380371
2015,2,0.019345423206686974,0.0005031920736655593,-1.2722265720367432
2015,3,0.0217689648270607,0.0004987171269021928,-3.3485841751098633
2015,4,0.02004171349108219,0.0005114253144711256,-1.4675257205963135
2016,1,0.014871741645038128,0.0003418263513594866,-0.08869683742523193
2016,2,0.04371149465441704,0.002293151803314686,-3.331070899963379
2016,3,0.00470025185495615,3.4206164855277166e-05,-0.6317973136901855
2016,4,0.003393354592844844,1.4464765627053566e-05,0.6509265899658203
2017,1,0.007045702077448368,5.4523436119779944e-05,-3.8442745208740234
2017,2,0.004780757240951061,3.2648120395606384e-05,0.061494290828704834
2017,3,0.013705125078558922,0.00020460761152207851,-29.935306549072266
2017,4,0.008018014952540398,6.59253855701536e-05,-35.904788970947266
